,brand,generic_text,year,mileage,color,plate,price,location,model,transmission,fuel,converted_mileage
0,Changan,"CS35 Plus 1.4 Luxe, A/T, Gas",2023,4T,Black/Red,NIL 5623,1012000,MOA - PASAY,CS35 Plus 1.4 Luxe,automatic,gas,4000
1,Chery,"Tiggo 7 Pro 1.5L, A/T, Gas",2022,1T,Red,NEE 5392    CS# I0 O092 (WITHOUT PLATES),959000,MOA - PASAY,Tiggo 7 Pro 1.5L,automatic,gas,1000
2,Chery,"Tiggo 7 Pro, A/T, GAS",2022,17T,Red,NGQ 3019,943000,"Gateway Bus Park, Gen. Trias, Cavite",Tiggo 7 Pro,automatic,gas,17000
3,Chevrolet,"Camaro RS V6 3.6, A/T, GAS",2019,28T (per checklist),Orange Crush,NGS 9134 (VIRTUAL PLATE),2343000,Bacolod,Camaro RS V6 3.6,automatic,gas,28000
4,Chevrolet,"Colorado High Country Storm 4x4 2.8L, A/T, DSL",2020,58T (per checklist),Orange,FAL 1300     CS# W0 E343 (WITHOUT PLATES),863000,Bacolod,Colorado High Country Storm 4x4 2.8L,automatic,dsl,58000
5,Chevrolet,"Colorado LT 4x2 2.5L, M/T, DSL",2019,6T,Switchblade Silver,FAG 1847    CS# WE5756 (WITHOUT PLATES),757000,Bacolod,Colorado LT 4x2 2.5L,manual,dsl,6000
6,Chevrolet,"Colorado LT 4x2 2.5L, M/T, DSL",2019,74T,Orange,FAE 8551,714000,"Bolilao, Iloilo",Colorado LT 4x2 2.5L,manual,dsl,74000
7,Chevrolet,"Colorado LTX 4x2 2.8, A/T, DSL",2017,120T,Mountain Blue,NCM 7809,629000,"Howmart, QC",Colorado LTX 4x2 2.8,automatic,dsl,120000
8,Chevrolet,"Colorado LTZ 4x4 2.8, A/T, DSL",2019,108T,Summit White,NCU 9367,837000,"Gateway Bus Park, Gen. Trias, Cavite",Colorado LTZ 4x4 2.8,automatic,dsl,108000
9,Chevrolet,"Colorado LTZ Pro 4x4 2.8L, A/T, DSL",2016,135T,Summit White,NCE 2156,586000,"Gateway Bus Park, Gen. Trias, Cavite",Colorado LTZ Pro 4x4 2.8L,automatic,dsl,135000
10,Chevrolet,"Colorado Trailboss 4x2 2.8, A/T, DSL",2020,36T (per checklist),Orange,FAF 2470 (CRE) /                               CS# W0 H507 (WITHOUT PLATES),794000,Bacolod,Colorado Trailboss 4x2 2.8,automatic,dsl,36000
11,Chevrolet,"Sail 1.3 LT, M/T, GAS",2018,41T (per checklist),Black Meet Kettle,NCW 2256,245000,MOA - PASAY,Sail 1.3 LT,manual,gas,41000
12,Chevrolet,"Sail 1.3 LT, M/T, GAS",2018,56T,Black Metallic,CS# WE 1726 (WITHOUT PLATES),267000,Cavite,Sail 1.3 LT,manual,gas,56000
13,Chevrolet,"Trailblazer LT 4x2 2.8, A/T, DSL",2019,88T,Satin Steel Gray,NAY 7060,757000,MOA - PASAY,Trailblazer LT 4x2 2.8,automatic,dsl,88000
14,Chevrolet,"Trailblazer LT 4x2, A/T, DSL",2018,33T (per checklist),Auburn Brown,FAD 2431,384000,Bacolod,Trailblazer LT 4x2,automatic,dsl,33000
15,Chevrolet,"Trailblazer LTX 4x2 2.8, A/T, DSL",2018,53T,Pull Me Over Red,NEA 7533,884000,MOA - PASAY,Trailblazer LTX 4x2 2.8,automatic,dsl,53000
16,Chevrolet,"Trailblazer Z71 4x4 2.8, A/T, DSL",2018,73T,Satin Steel Gray,IAA 1569,895000,MOA - PASAY,Trailblazer Z71 4x4 2.8,automatic,dsl,73000
17,Chevrolet,"Trailblazer Z71 4x4 2.8L, A/T, DSL",2019,89T,Black Meet Kettle,NDL 1834,996000,"Gateway Bus Park, Gen. Trias, Cavite",Trailblazer Z71 4x4 2.8L,automatic,dsl,89000
18,Chevrolet,"Trax LS 1.4, A/T, GAS",2017,70T,Blue Metallic,NAW 1876 (CRE)                           / CS# WD 5957 (WITHOUT PLATES),400000,"Gateway Bus Park, Gen. Trias, Cavite",Trax LS 1.4,automatic,gas,70000
19,Ford,"Ecosport 1.0 Ecoboost Titanium, A/T, Gas",2019,41T,Blue Lightning,DAL 2767,629000,MOA - PASAY,Ecosport 1.0 Ecoboost Titanium,automatic,gas,41000
20,Ford,"Ecosport 1.0 Titanium Ecoboost, A/T, GAS",2020,7T,Ruby Red,GAO 5107,746000,Cebu,Ecosport 1.0 Titanium Ecoboost,automatic,gas,7000
21,Ford,"Ecosport 1.5 Trend, A/T, GAS",2020,49T,Crystal White,NGS 7142,655000,MOA - PASAY,Ecosport 1.5 Trend,automatic,gas,49000
22,Ford,"Ecosport 5DR Titanium 1.5L, A/T, Gas",2018,37T,Mars Red,NAJ 3809,501000,"Gateway Bus Park, Gen. Trias, Cavite",Ecosport 5DR Titanium 1.5L,automatic,gas,37000
23,Ford,"Ecosport 5DR Titanium 1.5L, A/T, Gas",2018,57T,Frozen White,KAB 2669,384000,Cagayan de Oro,Ecosport 5DR Titanium 1.5L,automatic,gas,57000
24,Ford,"Ecosport 5DR Titanium 4x2 1.0L, A/T, Gas",2019,62T,Blue,NBG 8349,570000,"Gateway Bus Park, Gen. Trias, Cavite",Ecosport 5DR Titanium 4x2 1.0L,automatic,gas,62000
25,Ford,"Ecosport 5DR Trend 1.5L, A/T, Gas",2017,34T,Frozen White,ADZ 5626    (CRE)           CDZ 5626 (ACTUAL),379000,"Howmart, QC",Ecosport 5DR Trend 1.5L,automatic,gas,34000
26,Ford,"Ecosport Titanium 1.0 Ecoboost, A/T, Gas",2020,1T,Absolute Black,NGJ 2518,746000,"Howmart, QC",Ecosport Titanium 1.0 Ecoboost,automatic,gas,1000
27,Ford,"Ecosport Titanium 1.0, A/T, DSL",2019,91T,Blue Lightning,NDI 2044,586000,MOA - PASAY,Ecosport Titanium 1.0,automatic,dsl,91000
28,Ford,"Ecosport Trend 1.5, A/T, GAS",2020,31T,Absolute Black,FAL 5756,634000,Bacolod,Ecosport Trend 1.5,automatic,gas,31000
29,Ford,"Escape 1.6 SE Ecoboost, A/T, Gas",2015,79T,White,ABM 3714,373000,"Bolilao, Iloilo",Escape 1.6 SE Ecoboost,automatic,gas,79000
