Item,,,,,Conduction,,,
"",Location,Year,Make / Model,Plate #,,Color,Mileage,Minimun Bid Price
No.,,,,,Sticker No.,,,
1001,MARCELO GREEN,2023,CHERY TIGGO 2 A/T PRO,,I0Q076,RED,"6,051","498,000.00"
1002,STA. MARIA,2017,CHEVROLET SAIL 1.3 LT MT GAS,NAL4766,WD8113,BLACK,"140,244","141,950.00"
1003,AXIS TOWER,2018,CHEVROLET SAIL NOTCHBACK 1.5 AT LTZ,,WE2417,SYRACUSE MKIII,"43,965","241,150.00"
1004,MARCELO GREEN,2017,CHEVROLET TRAILBLAZER 4X2 LT AT,NAH3995,WD5987,SUMMIT WHITE,"124,933","572,900.00"
1005,THE SIGNATURE,2019,CHEVROLET TRAILBLAZER 4X4 AT Z71,NCU5610,WE3362,BLACK METALLIC,"61,558","696,800.00"
1006,ENTRATA,2015,CHEVROLET TRAILBLAZER LTX 4X2 DSL 2.8L AT,DBY2979,WC5909,BLACK SAPPHIRE,"112,137","487,000.00"
1007,PROMENADE,2016,CHEVROLET TRAX LT 4X2 GAS 1.4L TURBO AT,,WD2486,BLUE METALLIC,unavailable,"120,250.00"
1008,MARCELO GREEN,2017,FORD ECOSPORT 1.5L 5DR MT AMBIENTE,NAD9481,IO1937,INGOT SILVER,"118,844","328,000.00"
1009,AXIS TOWER,2016,FORD ECOSPORT 1.5L TREND AT,NCG6708,IM5282,RED CANDY,"148,254","263,000.00"
1010,MARCELO GREEN,2018,FORD ECOSPORT 1.5L TREND AT,NAO9501,C0U386,WINNING BLUE,"70,389","289,250.00"
1011,MARCELO GREEN,2017,FORD ECOSPORT 1.5L TREND AT BLACK EDITION,NBJ3622,C0M466,INGOT SILVER,"157,497","297,000.00"
1012,AXIS TOWER,2017,FORD ECOSPORT 1.5L TREND AT BLACK PACK,,IN4841,RED CANDY,"96,974","245,400.00"
1013,AXIS TOWER,2017,FORD ECOSPORT 1.5L TREND MT,NCY6805,IN0955,FROZEN WHITE,"100,033","378,000.00"
1014,MARCELO GREEN,2017,FORD ECOSPORT 1.5L TREND MT,NBC6570,C0L381,RED CANDY,"88,830","245,700.00"
1015,MARCELO GREEN,2016,FORD ECOSPORT 5DR TITANIUM 1.5L AT,ABP8367,IK1239,PANTHER BLACK,"100,175","323,000.00"
1016,SANFORD,2017,FORD ECOSPORT 5DR TREND 1.5L AT,DAA6146,IN8915,ABSOLUTE BLACK,unavailable,"277,000.00"
1017,THE SIGNATURE,2019,FORD ECOSPORT TITANIUM 1.0L 4X2 AT,NBE5051,C1S402,BLACK,"63,854","521,900.00"
