Unnamed: 0,Unnamed: 1,Unnamed: 2,"CAGAYAN DE ORO WAREHOUSE - 6th Division, Patag, Cagayan de Oro City",Unnamed: 3,Unnamed: 4
,,,(Near Camp Evangelista Crossing infront of A&N Motor Parts),,
,,,NEWLY FORECLOSED - SUBJECT FOR CASH BIDDING,,
,YEAR,,,,
#,,BRAND/ MAKE,SERIES PLATE NO. TRANSMISSION FUEL COLOR,ODOMETER,SELLING PRICE
,MODEL,,,,
1,2006,FUSO,SG ALUMINUM WINGVAN CAJ5616 MANUAL DIESEL WHITE BLUE,NA,"7 00,000.00"
2,2023,MITSUBISHI,MIRAGE G4 1.2 GLX KAP8939 AUTOMATIC GAS COOL SILVER,"17,293","5 18,000.00"
3,2020,MITSUBISHI,MIRAGE G4 GLX KAG7236 MANUAL GAS COOL SILVER,"51,366","3 29,000.00"
4,2023,MITSUBISHI,MIRAGE G4 GLX 1.2G MAQ5568 AUTOMATIC GAS TITANIUM GRAY,"40,286","4 74,000.00"
,,,TITANIUM GRAY,,
5,2023,MITSUBISHI,MIRAGE G4 GLX 1.2L LAL7738 AUTOMATIC GAS,"21,591","5 18,000.00"
,,,METALLIC,,
6,2023,MITSUBISHI,MIRAGE G4 GLX 1.2L Y3I749 AUTOMATIC GAS COOL SILVER METALLIC,"43,487","5 08,000.00"
7,2024,MITSUBISHI,MIRAGE G4 GLX 1.2L KAR7161 AUTOMATIC GAS RED METALLIC,"3,193","6 24,000.00"
8,2023,MITSUBISHI,MIRAGE GLX 1.2G KAR6097 MANUAL GAS RED METALLIC,"11,786","4 96,000.00"
9,2022,SUZUKI,APV GA ZAC3688 MANUAL GAS WHITE,"24,649","4 48,000.00"
10,2024,SUZUKI,DZIRE GL G4P120 AUTOMATIC GAS GRAY,"10,342","5 38,000.00"
11,2023,TOYOTA,VIOS 1.3 XLE CVT KAP4079 AUTOMATIC GAS SILVER METALLIC,"31,139","5 87,000.00"
,,,"FIRST COME, FIRST SERVE",,
12,2023,MITSUBISHI,L300 C/C 2.2D Y2Q011 MANUAL DIESEL POLAR WHITE,"13,268","7 19,000.00"
13,2023,MITSUBISHI,MIRAGE HB 1.2G GLX LAL3119 AUTOMATIC GAS TITANIUM,"10,704","4 91,000.00"
,,MORRIS,,,
14,2022,,MG ZS1.5L W0V052 AUTOMATIC GAS LASER BLUE,"20,977","5 03,000.00"
,,GARAGES,,,
,,MORRIS,,,
15,2022,,ZS 1.5L ALPHA W0X776 AUTOMATIC GAS BLACK,"18,922","6 34,000.00"
,,GARAGES,,,
16,2024,NISSAN,NV350 URVAN PREMIUM 2.5L ZAC8794 MANUAL DIESEL GUN METALLIC,"21,172","1 ,489,000.00"
17,2024,SUZUKI,DZIRE 1.2L GL KAG8297 AUTOMATIC GAS BLUE,"2,462","6 60,000.00"
18,2022,SUZUKI,DZIRE AGS ZAC1411 AUTOMATIC GAS RED,"30,365","4 53,000.00"
19,2022,SUZUKI,DZIRE GLP KAF6877 AUTOMATIC GAS BROWN,"47,921","4 77,000.00"
20,2018,TOYOTA,HIACE GL GRANDIA 130110 MANUAL DIESEL WHITE PEARL,-,"6 74,000.00"
