Unnamed: 0,"WAREHOUSE ADDRESS:  Along Ma-a Road, Davao City (Beside Woodridge Village fronting Phil. Daily Inquiry - Davao Office)"
,FIRST COME FIRST SERVE
,YEAR
#,BRAND/ MAKE SERIES PLATE NO. TRANSMISSION FUEL COLOR  ODOMETER  SELLING PRICE
,MODEL
1,"2020 MITSUBISHI SUPERGREAT WINGVAN NGU4853 MANUAL DIESEL RED - 551,000.00"
,"WAREHOUSE ADDRESS:  Diversion Road, Matina Pangi , Davao City"
,(Near Matina Pangi Diversion Road Traffic Light)
,NEWLY FORECLOSED- SUBJECT FOR CASH BIDDING
2,"2017 HYUNDAI ACCENT 1.4 GL LAA6211 MANUAL GAS BLUE 96,990 2 85,000.00"
3,"2019 HYUNDAI TUCSON 2.0 GL LAF9264 AUTOMATIC GAS WHITE 28,817 6 65,000.00"
4,"2024 MITSUBISHI MIRAGE G4 GLX CVT Y3U359 AUTOMATIC GAS RED METALLIC 7,677 5 56,000.00"
5,"2023 MITSUBISHI XPANDER CROSS 1.5G Y3Q063 AUTOMATIC GAS BLADE SILVER METALLIC 5,737 1 ,043,000.00"
6,"2023 MITSUBISHI XPANDER GLX LAM1510 MANUAL GAS BLADE SILVER 10,178 7 39,000.00"
7,"2023 NISSAN TERRA VE 2.5L LAL8042 AUTOMATIC DIESEL ASPEN PEARL WHITE 9,008 1 ,510,000.00"
8,"2020 NISSAN URVAN 15 SEATERS 2.5 F3C071/LAG7927 MANUAL DIESEL ALPINE WHITE  N/A 5 79,000.00"
9,"2020 TOYOTA FORTUNER 2.4L 4X2 LAG3106 AUTOMATIC DIESEL WHITE PEARL 180,421 1 ,145,000.00"
10,"2023 TOYOTA VIOS 1.3 XLE CVT KAR1448 AUTOMATIC GAS SILVER METALLIC 23,332 5 45,000.00"
,GRAYISH BLUE MICA
11,"2023 TOYOTA VIOS 1.3 XLE CVT LAL2476 AUTOMATIC GAS 42,853 5 42,000.00"
,METALLIC
,FIRST COME FIRST SERVE
12,"2017 CHEVROLET TRAILBLAZER LT 2.8L LAA2432 AUTOMATIC DIESEL SUMMIT WHITE 95,942 610,000.00"
13,"2019 FORD RANGER WILDTRAK 2.0L 1101-632312 AUTOMATIC DIESEL ABSOLUTE BLACK 92,127 703,000.00"
14,"2022 KIA PICANTO 1.2L EX ZAC7596 MANUAL GAS WHITE 18,647 415,000.00"
15,"2020 MITSUBISHI L300 C/C 2.2D LAI5344 MANUAL DIESEL POLAR WHITE 173,630 418,000.00"
,TITANIUM GRAY
16,"2023 MITSUBISHI MIRAGE G4 GLX 1.2G CVT LAL9373 MANUAL GAS 3,211 519,000.00"
,METALLIC
,TITANIUM GRAY
17,"2023 MITSUBISHI MIRAGE G4 GLX CVT LAM4596 AUTOMATIC GAS 11,917 552,000.00"
,METALLIC
18,"2022 MITSUBISHI MONTERO SPORT GLX 2.4L 4X2 LAK2254 MANUAL DIESEL WHITE DIAMOND 57,626 1,009,000.00"
19,"2023 MITSUBISHI XPANDER CROSS 1.5G Y3D933 AUTOMATIC GAS BLADE SILVER METALLIC 1,992 1,053,000.00"
,MORRIS
20,"2020 MG RX5 1.5L LAH3881 AUTOMATIC GAS WHITE 101,631 539,000.00"
,GARAGES
21,"2023 NISSAN ALMERA 1.0VL CVT F5Z096 AUTOMATIC GAS GALAXY BLACK 19,882 754,000.00"
22,"2017 NISSAN NAVARA VL 2.5L 4X4 LAA2975 AUTOMATIC DIESEL SAVANNA ORANGE 126,600 734,000.00"
23,"2017 NISSAN NAVARRA 2.5L 4X2 GAC7367 AUTOMATIC DIESEL ALPINE WHITE 148,062 600,000.00"
24,"2019 NISSAN TERRA EL 2.5L 4X2 LAG3347 MANUAL DIESEL BRILLIANT SILVER 84,039 754,000.00"
