Unnamed: 0,Unnamed: 1,Unnamed: 2,"ILOILO ARGUELLES JARO YARD - Arguelles Street Jaro, Iloilo City",Unnamed: 3,Unnamed: 4
,,,(Near Maybank Jaro Branch),,
,,,NEWLY FORECLOSED - SUBJECT FOR CASH BIDDING,,
,YEAR,,,,
#,,BRAND/ MAKE,SERIES PLATE NO. TRANSMISSION FUEL COLOR,ODOMETER,SELLING PRICE
,MODEL,,,,
1,2023,HYUNDAI,STARGAZER 1.5 GL K2X465 AUTOMATIC GAS RED,"13,611","853,000.00"
2,2023,MITSUBISHI,MIRAGE G4 GLX AT FAO2499 AUTOMATIC GAS RED METALLIC,"23,084","489,000.00"
3,2023,SUZUKI,ERTIGA 1.5 GL G4L998 AUTOMATIC HYBRID BURGUNDY RED,"3,365","715,000.00"
,,,"FIRST COME, FIRST SERVE",,
4,2014,CHEVROLET,SPARK 1.0L ABA4505 MANUAL GAS CARBON FLASH METALLIC,"70,720","177,000.00"
5,2018,CHEVROLET,TRAILBLAZER 2.8L WE2020 AUTOMATIC DIESEL SATIN GRAY,"38,990","700,000.00"
6,2013,FORD,EXPLORER 4X4 FHN957 AUTOMATIC GAS SILVER,N/A,"467,000.00"
7,2020,FORD,RANGER WILDTRAK 2.0L FAG7425 AUTOMATIC DIESEL ABSOLUTE BLACK,-,"753,000.00"
,,,HYPER METALLIC DARK,,
8,2018,HYUNDAI,GRANDSTAREX 2.5L FAB9095 MANUAL DIESEL,"41,313","649,000.00"
,,,GRAY,,
9,2023,HYUNDAI,STARGAZER GLS PREMIUM 1.5 FAP1330 AUTOMATIC GAS BLACK,"11,022","906,000.00"
10,2017,MITSUBISHI,L300 DELUXE DROPSIDE 2.5L FAB9736 MANUAL DIESEL POLAR WHITE,N/A,"202,000.00"
11,2022,MORRIS GARAGES,RX5 1.5L STYLE LAK3933 AUTOMATIC GAS WHITE,"12,870","611,000.00"
12,2021,SUZUKI,ALL NEW CARRY UTILITY VAN FAI5754 MANUAL GAS WHITE,"107,962","376,000.00"
