Unnamed: 0,Unnamed: 1,Unnamed: 2,"MAYBANK STA. CRUZ YARD - Along Provincial Road, Brgy. Sta. Cruz,Mexico Pampanga",Unnamed: 3,Unnamed: 4
,,,WAZE: Maybank Sta Cruz Repo Yard,,
,,,NEWLY FORECLOSED - SUBJECT FOR CASH BIDDING,,
,YEAR,,,,
#,,BRAND/ MAKE,SERIES PLATE NO. TRANSMISSION FUEL COLOR,ODOMETER,SELLING PRICE
,MODEL,,,,
1,2018,FOTON,TORNADO M4 2C DROPSIDE EAB6115 MANUAL DIESEL WHITE,"89,112","594,000.00"
2,2016,ISUZU,REBUILT TRUCK WINGVAN NCK9750 MANUAL DIESEL GREEN,"3 70,301","1,264,000.00"
3,2022,MITSUBISHI,MIRAGE CVT G4 GLX 1.2G NFG3435 AUTOMATIC GAS COOL SILVER METALLIC,-,"449,000.00"
4,2024,MITSUBISHI,MIRAGE G4 GLX Y3Y075 AUTOMATIC GAS GRAY,"12,752","627,000.00"
5,2024,MITSUBISHI,MIRAGE G4 GLX 1.2G CVT Y3X111 AUTOMATIC GAS TITANIUM GRAY METALLIC,"4,236","669,000.00"
6,2023,MITSUBISHI,MIRAGE G4 GLX 1.2L Y3M334/NFA887A0UTOMATIC GAS TITANIUM GRAY METALLIC,"6,513","494,000.00"
,,,STERLING SILVER,,
7,2023,MITSUBISHI,MONTERO SPORT GLX 2.4L 4X2 Y3R554 MANUAL DIESEL,"1,361","1,051,000.00"
,,,METALLIC,,
8,2023,MITSUBISHI,XPANDER GLS 1.5 CBT5050 AUTOMATIC GAS GRAPHITE GRAY METALLIC,"9,717","871,000.00"
9,2023,TOYOTA,VIOS 1.3L XLE CVT Z5Z933 AUTOMATIC GAS SILVER METALLIC,"2,734","573,000.00"
,,,FIRST COME FIRST SERVE,,
10,2023,CHERRY,TIGGO 5X 1.5L CROSSOVER IOP678 AUTOMATIC GAS GRAY,"4,396.00","558,000.00"
11,2022,FORD,RANGER XLS 2.2L 4X4 CBD5817 MANUAL DIESEL ARCTIC WHITE,"58,390","731,000.00"
12,2018,HONDA,CIVIC 1.8E CVT E2D841 AUTOMATIC GAS COSMIC BLUE METALLIC,"75,495","686,000.00"
13,2019,HYUNDAI,H100 CAS4215 MANUAL DIESEL CREAMY WHITE,"60,520","553,000.00"
14,2023,KIA,SOLUTO 1.4L EX X0X466 AUTOMATIC GAS RED,"5,205","650,000.00"
15,2023,KIA,SOLUTO LX 1.4L CBI7264/XOU415 MANUAL GAS BEIGE,"5,975","553,000.00"
16,2017,MITSUBISHI,ADVENTURE MT GLS NBZ8996 MANUAL DIESEL PYRENESE BLACK,"62,756","322,000.00"
17,2023,MITSUBISHI,L300 DUAL CBK7978 MANUAL DIESEL POLAR WHITE,"34,117","689,000.00"
18,2017,MITSUBISHI,L300 EXCEED B1Q579 MANUAL DIESEL POLAR WHITE,"99,587","316,000.00"
19,2024,MITSUBISHI,MIRAGE G4 GLX Y3X322 AUTOMATIC GAS RED METALLIC,"11,722","624,000.00"
20,2023,MITSUBISHI,MIRAGE G4 GLX 1.2G CVT NII4229 AUTOMATIC GAS TITANIUM GRAY METALLIC,"12,683","523,000.00"
21,2024,MITSUBISHI,MIRAGE G4 GLX 1.2L Y3Y204 AUTOMATIC GAS TITANIUM GRAY METALLIC,"3,385","620,000.00"
22,2022,MITSUBISHI,MIRAGE GLX 1.2 CVT NIB4045 AUTOMATIC GAS COOL SILVER METALLIC,"83,155","483,000.00"
23,2018,MITSUBISHI,MIRAGE GLX 1.2G NBP1188 MANUAL GAS WINE RED PEARL,"20,840","167,000.00"
24,2018,NISSAN,NV350 URVAN 2.5L CAM5044 MANUAL DIESEL ALPINE WHITE,NA,"560,000.00"
25,2023,SUZUKI,DZIRE 1.2L GL NHD1961 AUTOMATIC GAS RED,"20,721","511,000.00"
26,2023,SUZUKI,S-PRESSO 1.0L GL NHB9679 MANUAL GAS ORANGE,"14,935","355,000.00"
,,,GRAYISH BLUE MICA,,
27,2023,TOYOTA,VIOS 1.3L XLE CVT Z6L094 AUTOMATIC GAS,"16,318","607,000.00"
28,,,METALLIC,,
