TRUCKS AND BUSSES,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,,
28.0,2017.0,FOTON,TORNADO 4.5 DROPSIDE,GC0490/1366-0000203778,MANUAL,DIESEL,WHITE,"102,130","606,000.00"
29.0,2016.0,FUSO,REBUILT TRACTOR HEAD,NAM3515,MANUAL,DIESEL,WHITE,"523,476","530,000.00"
30.0,2021.0,ISUZU,10W GIGA WINGVAN,CBQ9530,MANUAL,DIESEL,MULTICOLOR,"161,437","1,223,000.00"
31.0,2023.0,ISUZU,CLOSED VAN,CBS6545,MANUAL,DIESEL,WHITE,"504,220","558,000.00"
32.0,2004.0,ISUZU,DUMPTRUCK,ACTUAL CCN2923 PERORCR ACN2923,MANUAL,DIESEL,BLUE,"432,941","735,000.00"
33.0,2021.0,ISUZU,ELF CLOSED VAN,KAO5075,MANUAL,DIESEL,WHITE,"404,117","471,000.00"
34.0,2022.0,ISUZU,ELF CLOSED VAN,JAF9019,MANUAL,DIESEL,WHITE,"521,706","487,000.00"
35.0,2022.0,ISUZU,ELF FREEZER VAN,CBS1581,MANUAL,DIESEL,WHITE,"440,884","527,000.00"
36.0,2021.0,ISUZU,ELF REFRIGERATED VAN,KAO7055,MANUAL,DIESEL,WHITE,"936,974","537,000.00"
37.0,2017.0,ISUZU,GIGA DUMPTRUCK,NBC7129,MANUAL,DIESEL,BLACK,-,"845,000.00"
38.0,2021.0,ISUZU,GIGA TRACTOR HEAD,NBH8631,AUTOMATIC,DIESEL,BLUE,"626,542","886,000.00"
39.0,2020.0,ISUZU,GIGA WINGVAN,CBP4877,MANUAL,DIESEL,GREEN,"591,267","1,223,000.00"
40.0,2010.0,ISUZU,NPR ELF DROPSIDE,CCN9169,MANUAL,DIESEL,WHITE,-,"406,000.00"
41.0,2016.0,ISUZU,REBUILT WINGVAN,NCK8991,MANUAL,DIESEL,BLUE,"631,855","1,019,000.00"
42.0,2018.0,ISUZU,TRACTOR HEAD,CAM3690,MANUAL,DIESEL,BLUE YELLOW,"691,690","1,167,000.00"
43.0,2018.0,ISUZU,WINGVAN,CAJ3004,MANUAL,DIESEL,BLUE,"788,394","1,165,000.00"
44.0,2018.0,MITSUBISHI,CANTER MINI DUMPTRUCK,CAL4230,MANUAL,DIESEL,WHITE,"195,190","424,000.00"
45.0,2019.0,MITSUBISHI,CANTER REF VAN,NGP6393,MANUAL,DIESEL,BLUE,NA,"491,000.00"
46.0,2017.0,MITSUBISHI,SUPERGREAT,NBO6876/130102,MANUAL,DIESEL,WHITE,"362,409","1,036,000.00"
47.0,2015.0,SINOTRUK,DUMPTRUCK-W/Franchise,ABD7012,MANUAL,DIESEL,GRAY,-,"1,129,000.00"
48.0,2015.0,SINOTRUK,DUMPTRUCK-W/Franchise,ABD7022,MANUAL,DIESEL,GRAY,-,"1,342,000.00"
49.0,2015.0,SINOTRUK,DUMPTRUCK-W/Franchise,ABD7032,MANUAL,DIESEL,GRAY,-,"1,205,000.00"
50.0,2015.0,SINOTRUK,DUMPTRUCK-W/Franchise,ABE2419,MANUAL,DIESEL,GRAY,-,"1,240,000.00"
51.0,2015.0,SINOTRUK,DUMPTRUCK-W/Franchise,ABG2981,MANUAL,DIESEL,GRAY,-,"1,221,000.00"
52.0,2015.0,SINOTRUK,DUMPTRUCK-W/Franchise,ABG3012,MANUAL,DIESEL,GRAY,-,"1,227,000.00"
53.0,2016.0,SINOTRUK,DUMPTRUCK-W/Franchise,NCE1074,MANUAL,DIESEL,GRAY,-,"1,221,000.00"
54.0,2016.0,SINOTRUK,DUMPTRUCK-W/Franchise,NCE1069,MANUAL,DIESEL,GRAY,-,"1,129,000.00"
55.0,2016.0,SINOTRUK,DUMPTRUCK-W/Franchise,NCE1073,MANUAL,DIESEL,GRAY,-,"1,176,000.00"
56.0,2019.0,SINOTRUK,HOWO DUMPTRUCK,NFT8148,MANUAL,DIESEL,WHITE,-,"2,495,000.00"
