Unnamed: 0,Unnamed: 1,Unnamed: 2,"SAN PEDRO-LAGUNA YARD - Along Muntinlupa-San Pedro National Highway,",Unnamed: 3,Unnamed: 4
,,,"Brgy. Nueva, San Pedro City, Laguna",,
,,,NEWLY FORECLOSED - SUBJECT FOR CASH BIDDING,,
,YEAR,,,,
,,BRAND/MAKE,SERIES PLATE NO. TRANSMISSION FUEL COLOR,ODOMETER,SELLING PRICE
,MODEL,,,,
1.0,2020,FORD,RANGER AT 2.2L DAZ2937 AUTOMATIC DIESEL TRUE RED,"97,296","7 90,000.00"
2.0,2016,FOTON,GRATOUR VAN EAA3995 MANUAL GAS BROWN,"91,868","1 99,000.00"
3.0,2023,GEELY,EMGRAND COMFORT 1.5L T0V631 AUTOMATIC GAS DARK BLUE,"5,031","5 67,000.00"
4.0,2022,HONDA,CITY 1.5 S CVT NGC2171 AUTOMATIC GAS IGNITE RED METALLIC,"38,892","6 41,000.00"
5.0,2018,HONDA,CITY 1.5 VX NAVI CVT NBL3264 AUTOMATIC GAS CRYSTAL BLACK,"30,090","5 04,000.00"
6.0,2020,HYUNDAI,H100 SHUTTLE 2.5L CRDI NDM1841 MANUAL DIESEL CREAMY WHITE,"134,094","5 03,000.00"
7.0,2023,HYUNDAI,STARGAZER 1.5 GLS NFA4819 AUTOMATIC GAS RED,"13,007","9 06,000.00"
8.0,2019,KIA,SOLUTO NDJ1103 AUTOMATIC GAS BLACK,-,"3 04,000.00"
9.0,2020,MAZDA,MAZDA 3 2.0L NGD6850 AUTOMATIC GAS MACHINE GRAY,"6,896","9 02,000.00"
10.0,2023,MITSUBISHI,L300 C/C 2.2D Y3F403/NFB6551 MANUAL DIESEL POLAR WHITE,"9,434","6 85,000.00"
11.0,2023,MITSUBISHI,L300 FB EXCEED Y2W396 MANUAL DIESEL POLAR WHITE,"12,258","6 81,000.00"
12.0,2017,MITSUBISHI,MIRAGE BOD231 MANUAL GAS VIRGIL GRAY,-,"8 3,000.00"
13.0,2023,MITSUBISHI,MIRAGE G GLS 1.2L Y2X633 AUTOMATIC GAS RED METALLIC,"11,208","6 18,000.00"
14.0,2022,MITSUBISHI,MIRAGE G4 GLX NER2010 AUTOMATIC GAS COOL SILVER METALLIC,"13,025","4 66,000.00"
15.0,2020,MITSUBISHI,MIRAGE G4 GLX EAE9591 MANUAL GAS PYRENESE BLACK,"40,133","3 14,000.00"
16.0,2022,MITSUBISHI,MIRAGE G4 GLX 1.2G DAQ6811 AUTOMATIC GAS COOL SILVER,"13,965","5 27,000.00"
17.0,2020,MITSUBISHI,MIRAGE G4 GLX 1.2G CVT NGK5608 AUTOMATIC GAS SAVANNA WHITE,"83,235","3 40,000.00"
18.0,2023,MITSUBISHI,MIRAGE G4 GLX 1.2G CVT NIG3651 AUTOMATIC GAS TITANIUM GRAY METALLIC,"35,838","4 78,000.00"
19.0,2023,MITSUBISHI,MIRAGE G4 GLX 1.2G CVT Y3J803 AUTOMATIC GAS COOL SILVER,"7,002","5 28,000.00"
20.0,2023,MITSUBISHI,MIRAGE G4 GLX 1.2L DBH6951 AUTOMATIC GAS COOL SILVER METALLIC,"21,431","4 98,000.00"
21.0,2023,MITSUBISHI,MIRAGE G4 GLX 1.2L Y2Q252/NIM2293 AUTOMATIC GAS COOL SILVER METALLIC,"2,539","5 13,000.00"
22.0,2023,MITSUBISHI,MIRAGE G4 GLX 1.2L Y3E342 AUTOMATIC GAS TITANIUM GRAY METALLIC,"7,918","5 18,000.00"
23.0,2023,MITSUBISHI,MIRAGE G4 GLX 1.2L Y3J245 AUTOMATIC GAS TITANIUM GRAY METALLIC,"24,323","5 19,000.00"
24.0,2023,MITSUBISHI,MIRAGE G4 GLX 1.2L Y3N032 AUTOMATIC GAS COOL SILVER METALLIC,"22,497","4 56,000.00"
25.0,2024,MITSUBISHI,MIRAGE G4 GLX 1.2L Y4M069 AUTOMATIC GAS RED METALLIC,"1,365","6 08,000.00"
26.0,2024,MITSUBISHI,MIRAGE G4 GLX 1.2L CVT Y40596 AUTOMATIC GAS TITANIUM GRAY METALLIC,"3,246","6 16,000.00"
27.0,2024,MITSUBISHI,MIRAGE G4 GLX CVT Y3T041 AUTOMATIC GAS RED,"9,561","6 20,000.00"
28.0,2019,MITSUBISHI,XPANDER AT GLS 1.5G NDP6450 AUTOMATIC GAS RED METALLIC,"26,931","7 11,000.00"
29.0,2023,MITSUBISHI,XPANDER GLS 1.5G 2WD NFO3690 AUTOMATIC GAS WHITE,"18,270","8 39,000.00"
,,MORRIS,,,
30.0,2022,,MG 5 STYLE CVT 1.5L NIG8987 AUTOMATIC GAS SILVER,"11,218","5 73,000.00"
,,GARAGES,,,
,,MORRIS,,,
31.0,2022,,MG5 1.5L CORE NIE2517 MANUAL GAS RED,"13,680","3 60,000.00"
,,GARAGES,,,
