Unnamed: 0,YEARMODEL,BRAND/MAK,SERIES,PLATE NO.,TRANSMISSION,FUEL,COLOR,ODOMETER,SELLING PRICE
32,2020.0,NISSAN,ALMERA 1.5L BASE,NGU2864,MANUAL,GAS,IRIDUM METALLIC BROWN,"18,103","3 28,000.00"
33,2023.0,NISSAN,URVAN 2.5L STANDARD 15,NEAILT5E5R30,MANUAL,DIESEL,GUN METALLIC,"66,478","1,035,000.00"
34,2021.0,TOYOTA,VIOS 1.3 XLE CVT,NEL3101,AUTOMATIC,GAS,BLACK,"30,149","5 07,000.00"
35,2023.0,TOYOTA,VIOS 1.3 XLE CVT,EAG4661,AUTOMATIC,GAS,ALUMINA JADE METALLIC,"17,377","5 64,000.00"
36,2023.0,TOYOTA,VIOS XLE CVT,EAG1622,AUTOMATIC,GAS,GRAY,"16,759","5 71,000.00"
"FIRST COME, FIRST SERVE",,,,,,,,,
,,,,,,,,,
37,2021.0,CHEVROLET,COLORADO LX 2.8L 4X2,NGN8659,AUTOMATIC,DIESEL,PULL ME OVER RED,"44,189","8 56,000.00"
38,2018.0,CHEVROLET,SAIL 1.5 LTZ,NCU4489,AUTOMATIC,GAS,BLACK,"140,146.00","2 98,000.00"
39,2022.0,CHEVROLET,TRACKER 1.0L,W0H827,AUTOMATIC,GAS,RED METALLIC,"57,011","7 57,000.00"
40,2020.0,CHEVROLET,TRAILBLAZER PHOENIX 4X2,NGN3511,AUTOMATIC,DIESEL,PULL ME OVER RED,"77,223","9 65,000.00"
41,2020.0,FORD,EVEREST 2.2L TREND,LAH2682,AUTOMATIC,DIESEL,ALUMINUM METALLIC,"113,756","9 28,000.00"
42,2014.0,FORD,EVEREST 2.5L,AAH8323,AUTOMATIC,DIESEL,COOL WHITE,NA,"4 24,000.00"
43,2017.0,FOTON,GRATOUR MIDI,EAA8852,MANUAL,GAS,WHITE,"87,154","1 41,000.00"
44,2017.0,FOTON,GRATOUR MIDI 1.2L,EAA8715,MANUAL,GAS,WHITE,-,"1 02,000.00"
45,2018.0,FOTON,GRATOUR MINI VAN,NDK9731,MANUAL,GAS,BLUE,"178,531","1 26,000.00"
46,2019.0,FOTON,TRANSVAN 2.8L,NDL7029,MANUAL,DIESEL,WHITE,"56,308","4 62,000.00"
47,2022.0,GEELY,OKAVANGO URBAN 1.5L,NER1513,AUTOMATIC,GAS,GREY,"20,946","1,047,000.00"
48,2022.0,GEELY,OKAVANGO URBAN PLUS,DAS4162,AUTOMATIC,GAS,GRAY,"12,654.00","1,088,000.00"
49,2022.0,HONDA,BRIO 1.2 CVT,E3U107,AUTOMATIC,GAS,MODERN STEEL METALLIC,-,"4 48,000.00"
50,2022.0,HONDA,BRIO 1.2 RS BLACKTOPCVT,E3T677,AUTOMATIC,GAS,CARNIVAL YELLOW,"5,696","3 14,000.00"
51,2020.0,HYUNDAI,ACCENT 1.4L GL,K1V889,MANUAL,GAS,GRAY,"21,914","4 12,000.00"
52,2018.0,HYUNDAI,ACCENT 1.6,NAO8408,MANUAL,DIESEL,WHITE,"294,092","2 16,000.00"
53,2018.0,HYUNDAI,ACCENT 1.6,NAO8411,MANUAL,DIESEL,WHITE,"372,246","2 31,000.00"
54,2018.0,HYUNDAI,ACCENT 1.6,NAO8409,MANUAL,DIESEL,WHITE,"333,665","2 04,000.00"
55,2018.0,HYUNDAI,ACCENT 1.6,NAO8413,MANUAL,DIESEL,WHITE,"369,893","1 95,000.00"
56,2018.0,HYUNDAI,ACCENT 1.6,NAO8412,MANUAL,DIESEL,WHITE,"362,851","2 06,000.00"
57,2020.0,HYUNDAI,H100 2.5L CRDI,NDM2105,MANUAL,DIESEL,CREAMY WHITE,"94,351","5 49,000.00"
