id,year,brand,trans,plate,mileage,color,price
1,2016,Ford - Ranger,MT DSL,IM 9633 / 130110,"131,422",Pride Orange,"533,000.00"
2,2020,Foton - Tornado 2,MT DSL,CAX 7227,"5,269",White,"600,000.00"
3,2022,GEELY - EMGRAND PREMIUM SEDAN,AT GAS,CBI 7181 / T0 R322,"15,349",Grey,"705,000.00"
4,2020,Hyundai - Accent,MT GAS,CBL 5023,"20,003",Phantom Black,"414,000.00"
5,2017,Hyundai - Eon,MT GAS,BAA 7501,"88,650",Mystic Blue,"260,000.00"
6,2020,Hyundai - H100,MT DSL,EAF 9385,"177,133",Creamy White,"522,000.00"
7,2019,HYUNDAI - KONA,AT GAS,NED 8917,-,Silver,"713,000.00"
8,2019,Hyundai - REINA,MT GAS,NEJ 5422,"153,533",Silver,"276,000.00"
9,2017,Isuzu - Crosswind,MT DSL,NAS 9467,"270,450",Dark Silver,"363,000.00"
10,2019,Isuzu - D-Max,AT DSL,NEU 7157,"55,451",Sapphire Blue,"781,000.00"
11,2021,ISUZU - TRAVIZ,MT DSL,NEQ 1354,"26,835",ARC WHITE,"889,000.00"
12,2021,Mazda - BT-50,AT DSL,IAD 9647,"43,179",JET BLACK,"929,000.00"
13,2015,Mitsubishi - Adventure,MT DSL,ABS 4838,"131,811",Verona Silver,"386,000.00"
14,2016,Mitsubishi - L300 FB Exceed,MT DSL,NCX 4650,"97,138",Polar White,"353,000.00"
15,2023,Mitsubishi - Montero Sport,AT DSL,BAC 8533,"28,277",White Diamond,"1,438,000.00"
16,2017,Mitsubishi - Strada,MT DSL,IAB 2847 / 010110,"289,034",PYRENESE BLACK,"572,000.00"
17,2018,Mitsubishi - Strada,MT DSL,VAA 4111,"139,561",STERLING SILVER METALLIC,"700,000.00"
18,2020,MITSUBISHI - XPANDER,AT GAS,NFQ 2682,"50,817",Sterling Silver Metallic,"717,000.00"
19,2021,MITSUBISHI - XPANDER,AT GAS,BAE 8308,"35,719",Graphite Gray Metallic,"803,000.00"
20,2022,MITSUBISHI - XPANDER,AT GAS,IAE 3897,"24,551",GRAPHITE GRAY METALLIC,"876,000.00"
21,2023,MITSUBISHI - XPANDER,AT GAS,Y2 S213 / NFB 4939,"4,897",SUNRISE ORANGE METALLIC WITH 2,"941,000.00"
22,2019,MITSUBISHI MIRAGE G4 GLX,MT GAS,NDK 7720,"43,891",Cool Silver,"351,000.00"
23,2019,MITSUBISHI MIRAGE G4 GLX,MT GAS,NEI 9883,"51,833",Virgil Gray,"356,000.00"
24,2023,MITSUBISHI MIRAGE G4 GLX,MT GAS,NIN 1107,"5,823",White solid,"615,000.00"
25,2021,Nissan - NAVARA,MT DSL,CBL 9462,"53,596",Alpine White,"721,000.00"
26,2021,Nissan - NAVARA,AT DSL,HAC 6778,"92,190",Galaxy Black,"815,000.00"
27,2021,Nissan - NAVARA,MT DSL,CBM 9477,389,Alpine White,"914,000.00"
28,2021,Nissan - NAVARA,AT DSL,NGT 8303,"23,508",Galaxy Black,"937,000.00"
29,2020,Nissan - Almera,AT GAS,IAD 9083,"30,204",Lunar Metallic Grey,"411,000.00"
30,2024,NISSAN - KICKS E POWER VL,AT GAS,ENW 1043 / F6 H913,"2,580",PREMIUM CORONA ORANGE W/ BLACK,"1,308,000.00"
31,2020,Nissan - NV350,MT DSL,NFY 3335,"94,027",Alpine White,"676,000.00"
32,2019,Nissan - NV350,AT DSL,BAB 7886,"163,970",Granite Black,"867,000.00"
33,2022,SUZUKI - ALL NEW CARRY UTILITY,MT GAS,NAP 6006,"76,458",White,"512,000.00"
34,2017,Suzuki - APV,MT GAS,NAC 1365,"52,229",Silver,"291,000.00"
35,2017,Suzuki - APV,MT GAS,NDE 1527,"43,580",Silver,"330,000.00"
36,2022,Suzuki - DZIRE,AT GAS,CBE 5956,"8,293",Gray,"513,000.00"
37,2021,Toyota - Hi-Ace,MT DSL,DBF 4433,"133,249",White,"1,162,000.00"
38,2019,Toyota - Innova,MT DSL,HAB 5562,"7,832",Red Mica Metallic,"705,000.00"
