"",,,,,,,,Ending #,
Area,Classification,Dealer,Year,Model,Variant,Color,Mileage,,Price
"",,,,,,,,(Plate/CS),
NCR,Value Lite,,,,,,,,
"",,Toyota Alabang,2016,Fortuner,4X2 G Dsl AT,Attitude Black,"5 2,044",6,"1 ,120,000.00"
NCR,Value Lite,,,,,,,,
"",,Toyota Alabang,2015,Hiace,3.0 Commuter Dsl MT,Freedom White,"8 9,539",8,"880,000.00"
NCR,Value Lite,,,,,,,,
"",,Toyota Alabang,2020,Hiace,2.8 Commuter Dsl MT,White,"9 4,087",1,"1,340,000.00"
NCR,Value Lite,,,,,,,,
"",,Toyota Alabang,2015,Innova,2.5 E AT Dsl,Brown,"1 00,371",1,"640,000.00"
NCR,Elite,,,,,,,,
"",,Toyota Alabang,2023,Raize,Turbo,Yellow,"7 ,000",0,"970,000.00"
NCR,Value Lite,,,,,,,,
"",,Toyota Alabang,2019,Rush,1.5G AT,Silver,"2 1,190",3,"855,000.00"
NCR,Value Lite,,,,,,,,
"",,Toyota Alabang,2020,Rush,1.5 G Gas AT,White,"1 7,466",2,"880,000.00"
NCR,Value Lite,,,,,,,,
"",,Toyota Alabang,2020,Wigo,1.0 G Gas AT,White,"2 2,323",4,"530,000.00"
NCR,Elite,,,,,,,,
"",,Toyota Balintawak,2022,Altis,1.6 G AT,Red Mica Metallic,"1 3,763",5,"920,000.00"
NCR,Value Plus,,,,,,,,
"",,Toyota Balintawak,2017,Altis,1.6 G AT,Thermalyte,"1 0,226",9,"750,000.00"
NCR,Value Plus,,,,,,,,
"",,Toyota Balintawak,2018,Altis,1.6 V AT,White Pearl,"2 3,300",8,"800,000.00"
NCR,Elite,,,,,,,,
"",,Toyota Balintawak,2021,Avanza,1.3 E AT,Dark Blue,"1 2,000",5,"900,000.00"
NCR,Elite,,,,,,,,
"",,Toyota Balintawak,2022,Avanza,1.3 E CVT,Greenish Gun,"1 5,000",4,"920,000.00"
NCR,Elite,,,,,,,,
"",,Toyota Balintawak,2022,Avanza,1.3 E AT,Silver Metallic,"3 1,996",1,"900,000.00"
NCR,Elite,,,,,,,,
"",,Toyota Balintawak,2022,Avanza,1.3 E CVT,Silver Metallic,"2 5,411",5,"920,000.00"
NCR,Value Plus,,,,,,,,
"",,Toyota Balintawak,2016,Camry,2.5 V AT,Silver Metallic,"1 2,000",3,"850,000.00"
NCR,Elite,,,,,,,,
"",,Toyota Balintawak,2019,Camry,2.5 V AT,White Pearl,"1 9,683",5,"1,600,000.00"
NCR,Elite,,,,,,,,
"",,Toyota Balintawak,2019,Hilux,2.4L 4X2 Conquest Dsl MT,Nebula Blue Metallic,"3 1,895",9,"1,200,000.00"
NCR,Value Plus,,,,,,,,
"",,Toyota Balintawak,2020,Hilux,4X2 2.4 Conquest Dsl MT,Nebula Blue Metallic,"3 6,949",9,"1,250,000.00"
NCR,Value Plus,,,,,,,,
"",,Toyota Balintawak,2013,Hilux,2.4l 4X2 Dsl MT,Silky Gold Mica Metallic,"1 11,860",1,"850,000.00"
NCR,Elite,,,,,,,,
"",,Toyota Balintawak,2022,Innova,2.8 G Dsl MT,Blackish Red Mica,"9 ,070",3,"1,370,000.00"
NCR,Value Plus,,,,,,,,
"",,Toyota Balintawak,2019,Innova,2.8 E Dsl MT,Thermalyte,"7 7,849",6,"900,000.00"
NCR,Elite,,,,,,,,
"",,Toyota Balintawak,2024,Innova,2.8 V Dsl AT,White Pearl Crystal Shine,2 44,N/A,"1,750,000.00"
NCR,Elite,,,,,,,,
